DEPARTAMENTO,calendar_start_date,calendar_end_date,Year,dengue_total,Temperature,Rain
BILWI,2014-01-05,2014-01-11,2014,0,24.885714285714286,23.4
BOACO,2014-01-05,2014-01-11,2014,17,23.47142857142857,1.5
CARAZO,2014-01-05,2014-01-11,2014,15,23.928571428571427,0.5
CHINANDEGA,2014-01-05,2014-01-11,2014,29,28.2,0.4
CHONTALES,2014-01-05,2014-01-11,2014,43,24.95714285714286,2.4
ESTELI,2014-01-05,2014-01-11,2014,6,22.15714285714286,2.3
GRANADA,2014-01-05,2014-01-11,2014,7,26.057142857142857,2.3
JINOTEGA,2014-01-05,2014-01-11,2014,17,19.67142857142857,5.8
LEON,2014-01-05,2014-01-11,2014,27,27.82857142857143,1.8
MADRIZ,2014-01-05,2014-01-11,2014,1,21.428571428571427,1.8
MANAGUA,2014-01-05,2014-01-11,2014,180,27.385714285714286,0
MASAYA,2014-01-05,2014-01-11,2014,22,25.34285714285714,2.3
MATAGALPA,2014-01-05,2014-01-11,2014,7,21.928571428571427,5.8
NUEVA SEGOVIA,2014-01-05,2014-01-11,2014,11,21.8,3.4
REGION AUTONOMA DEL ATLANTICO SUR,2014-01-05,2014-01-11,2014,0,24.757142857142856,24.5
RIO SAN JUAN,2014-01-05,2014-01-11,2014,1,24.985714285714284,28.099999999999998
RIVAS,2014-01-05,2014-01-11,2014,1,25.642857142857142,9.299999999999999
ZELAYA CENTRAL,2014-01-05,2014-01-11,2014,7,23.62857142857143,22.6
BILWI,2014-01-12,2014-01-18,2014,0,24.3,11.1
BOACO,2014-01-12,2014-01-18,2014,8,23.17142857142857,1.5
CARAZO,2014-01-12,2014-01-18,2014,6,23.8,0
CHINANDEGA,2014-01-12,2014-01-18,2014,19,28.142857142857142,0
CHONTALES,2014-01-12,2014-01-18,2014,29,24.571428571428573,0.8
ESTELI,2014-01-12,2014-01-18,2014,7,21.82857142857143,0
GRANADA,2014-01-12,2014-01-18,2014,3,25.84285714285714,0
JINOTEGA,2014-01-12,2014-01-18,2014,18,19.17142857142857,0.4
LEON,2014-01-12,2014-01-18,2014,26,27.8,0
MADRIZ,2014-01-12,2014-01-18,2014,2,21.3,0.1
MANAGUA,2014-01-12,2014-01-18,2014,217,27.257142857142856,0
MASAYA,2014-01-12,2014-01-18,2014,13,25.17142857142857,0
MATAGALPA,2014-01-12,2014-01-18,2014,15,21.5,0.4
NUEVA SEGOVIA,2014-01-12,2014-01-18,2014,10,21.742857142857144,0.5
REGION AUTONOMA DEL ATLANTICO SUR,2014-01-12,2014-01-18,2014,4,24.442857142857143,14.4
RIO SAN JUAN,2014-01-12,2014-01-18,2014,1,24.7,16.2
RIVAS,2014-01-12,2014-01-18,2014,3,25.4,1.1
ZELAYA CENTRAL,2014-01-12,2014-01-18,2014,11,23.34285714285714,12.3
BILWI,2014-01-19,2014-01-25,2014,0,23.942857142857143,18.8
BOACO,2014-01-19,2014-01-25,2014,18,23.37142857142857,0.3
CARAZO,2014-01-19,2014-01-25,2014,21,23.928571428571427,0
CHINANDEGA,2014-01-19,2014-01-25,2014,42,28.814285714285713,0
CHONTALES,2014-01-19,2014-01-25,2014,37,24.614285714285714,0.9
ESTELI,2014-01-19,2014-01-25,2014,5,22.1,0
GRANADA,2014-01-19,2014-01-25,2014,4,25.928571428571427,0
JINOTEGA,2014-01-19,2014-01-25,2014,18,19.414285714285715,0.9
LEON,2014-01-19,2014-01-25,2014,34,28.37142857142857,0
MADRIZ,2014-01-19,2014-01-25,2014,4,21.742857142857144,0.2
MANAGUA,2014-01-19,2014-01-25,2014,201,27.414285714285715,0
MASAYA,2014-01-19,2014-01-25,2014,10,25.32857142857143,0
