adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1980-01-01,1980-12-31,1980,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1981-01-01,1981-12-31,1981,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1982-01-01,1982-12-31,1982,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1983-01-01,1983-12-31,1983,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1984-01-01,1984-12-31,1984,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1985-01-01,1985-12-31,1985,17476,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1986-01-01,1986-12-31,1986,484,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1987-01-01,1987-12-31,1987,64,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1988-01-01,1988-12-31,1988,203,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1989-01-01,1989-12-31,1989,659,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1990-01-01,1990-12-31,1990,4137,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1991-01-01,1991-12-31,1991,1885,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1992-01-01,1992-12-31,1992,5495,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1993-01-01,1993-12-31,1993,8938,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1994-01-01,1994-12-31,1994,20469,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1995-01-01,1995-12-31,1995,18454,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1996-01-01,1996-12-31,1996,2743,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1997-01-01,1997-12-31,1997,3058,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1998-01-01,1998-12-31,1998,13160,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,1999-01-01,1999-12-31,1999,10401,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-01-01,2000-01-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-01-01,2000-01-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
